impl	case	pipeline	type	time	score
core-passthrough	slow-fast	20	obj	81.56983304023743	396.5795534117124
core-passthrough	fast-fast	20	obj	81.12966704368591	398.7311810554623
core-extend-transform	slow-fast	20	obj	78.83837509155273	410.31956736043105
core-extend-transform	fast-fast	20	obj	75.56558299064636	428.09076141144186
extend-minipass-current	fast-fast	20	str	62.77754187583923	515.2945940913818
extend-minipass-current	slow-fast	20	str	62.621875047683716	516.5755246762104
minipass-current	slow-fast	20	str	62.18691611289978	520.1886502980163
minipass-latest	slow-fast	20	str	61.270041942596436	527.9730017040438
minipass-v4	slow-fast	20	str	61.16729211807251	528.8598994462839
minipass-v5	slow-fast	20	str	60.98283386230469	530.4595721479113
minipass-v3	slow-fast	20	str	60.60979080200195	533.7244615253945
minipass-current	fast-fast	20	str	60.21724987030029	537.2036755022931
minipass-current-async	slow-fast	20	obj	59.65033411979675	542.3092500035024
extend-minipass-current	slow-fast	20	defaults	59.27174997329712	545.7731208128496
minipass-v3	fast-fast	20	str	59.039124965667725	547.9235672577594
minipass-latest	slow-fast	20	defaults	58.92799997329712	548.9568282246814
minipass-v4	slow-fast	20	defaults	58.75887489318848	550.5368851559698
minipass-v5	slow-fast	20	defaults	58.45437502861023	553.4047356272694
minipass-current	slow-fast	20	defaults	58.255666971206665	555.2923799662962
minipass-v3	slow-fast	20	defaults	58.234708070755005	555.4922318776192
minipass-latest	fast-fast	20	str	57.88187503814697	558.8783697426143
minipass-v4	fast-fast	20	str	57.79591608047485	559.7095807586604
minipass-v5	fast-fast	20	str	57.3116250038147	564.4392033346138
minipass-v3	fast-fast	20	defaults	56.02125000953674	577.4403097656408
minipass-latest	fast-fast	20	defaults	55.94037485122681	578.2751375012616
minipass-v4	fast-fast	20	defaults	55.740999937057495	580.3435172582763
minipass-current	fast-fast	20	defaults	55.45591592788696	583.3269078276658
minipass-v5	fast-fast	20	defaults	55.41020894050598	583.8080847826867
extend-minipass-current	fast-fast	20	defaults	55.100250005722046	587.0922174691755
core-extend-transform	slow-slow	1	defaults	39.06583285331726	828.0619046425476
core-passthrough	slow-slow	1	defaults	38.84020781517029	832.8721646625792
minipass-current	slow-fast	20	obj	38.114166021347046	848.7376567769385
extend-minipass-current	slow-fast	20	obj	37.86075019836426	854.4185677642201
core-passthrough	fast-mixed	1	defaults	37.690500020980835	858.2780260531941
core-extend-transform	fast-mixed	1	defaults	36.86058306694031	877.6021773778874
minipass-v4	slow-fast	20	obj	36.75349998474121	880.1591133469047
minipass-latest	slow-fast	20	obj	36.384124994277954	889.0945697897845
